,Title,Location,Area Per Sqft,Builder,Status,Price in Lakhs
3687,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3688,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3689,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3690,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3691,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3692,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3693,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3694,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3695,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3696,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3697,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3698,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3699,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3700,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3701,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3702,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3703,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3704,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3705,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3706,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3707,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3708,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3709,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3710,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3711,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3712,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3713,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3714,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3715,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
