,Title,Location,Area Per Sqft,Builder,Status,Price in Lakhs
3452,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3453,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3454,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3455,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3456,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3457,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3458,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3459,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3460,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3461,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3462,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3463,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3464,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3465,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3466,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3467,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3468,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3469,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3470,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3471,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3472,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3473,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3474,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3475,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3476,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3477,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3478,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3479,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3480,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3481,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3482,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3483,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3484,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3485,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3486,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3487,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3488,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3489,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3490,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3491,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3492,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3493,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3494,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3495,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3496,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3497,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3498,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3499,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3500,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3501,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3502,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3503,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3504,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3505,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3506,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3507,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3508,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3509,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3510,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3511,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3512,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3513,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3514,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3515,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
3516,Residential Plot,Chikballapur,1500 ,NBR Group,New,39.42
3517,2 BHK Apartment,Kengeri,870 ,Vaastu Structures,Under Construction,39.95
3518,Residential Plot,Marsur,4000 ,J R Housing Developers,New,144.0
3519,4 BHK Apartment,Thanisandra,2427 ,Puravankara Limited,Under Construction,145.0
3520,Residential Plot,Anekal City,835 ,RBD Shelters,New,15.0
3521,1 BHK Apartment,Brookefield,739 ,Raja Housing,Under Construction,50.44
3522,2 BHK Apartment,Electronic City Phase 1,1032 ,DS-MAX Properties,Under Construction,30.96
3523,3 BHK Apartment,Krishnarajapura,1833 ,Togetherments Infra Pvt Ltd,Under Construction,128.0
3524,2 BHK Apartment,Whitefield Hope Farm Junction,1238 ,SBB Group,Under Construction,75.84
3525,4 BHK Apartment,Hebbal,3880 ,SNN Builders,Ready to move,288.0
3526,3 BHK Apartment,RR Nagar,1641 ,Navami Builders and Developers,Under Construction,115.99999999999999
3527,3 BHK Apartment,Harlur,894 ,Iconhomz,Under Construction,67.05
3528,4 BHK Apartment,Sarjapur Road Post Railway Crossing,3197 ,Mana Projects Pvt Ltd,Under Construction,256.0
3529,3 BHK Apartment,Whitefield Hope Farm Junction,973 ,Sowparnika Projects,Under Construction,42.81
3530,Residential Plot,Koramangala,2325 ,Salarpuria Sattva,New,59.86
3531,3 BHK Apartment,Attibele,1410 ,GR Constructions,Under Construction,63.32
3532,3 BHK Apartment,Kogilu,2350 ,Legacy Global Projects Pvt Ltd,Ready to move,152.0
3533,2 BHK Apartment,Jakkur,835 ,Sai Kalyan Builders and Developers Pvt Ltd,Under Construction,71.48
3534,2 BHK Apartment,Ramamurthy Nagar,986 ,Japee Consultant india Pvt,Under Construction,32.53
3535,3 BHK Apartment,Jalahalli,1605 ,Renaissance Holdings,Under Construction,112.99999999999999
